名前,ごごばく(GoGoBombs)
開始日,2026/02/27
終了日,2026/03/06

日付,インプレッション数
2026/02/27,2.0
2026/02/28,0.0
2026/03/01,5.0
2026/03/02,2.0
2026/03/03,0.0
2026/03/04,12.0
2026/03/05,8.0
2026/03/06,0.0
