# ----------------------------------------
# Firebase の概要
# アカウント: Default Account for Firebase
# プロパティ: gungame-5b176
# ----------------------------------------
# アクティブ ユーザーの傾向
# 開始日: 20260215
# 終了日: 20260314
# 開始日: 20260215
# 終了日: 20260314
N 日目,合計収益


# 開始日: 20260215
# 終了日: 20260314
N 日目,購入による収益


# 開始日: 20260215
# 終了日: 20260314
N 日目,広告収入合計


#  
# 開始日: 20260215
# 終了日: 20260314
N 日目,アクティブ ユーザーあたりの平均購入収益額


#  
# 開始日: 20260215
# 終了日: 20260314
国 ID,アクティブ ユーザー
JP,13
US,8

# 開始日: 20260215
# 終了日: 20260314
国,アクティブ ユーザー
JP,13
US,8

#  
# 開始日: 20260215
# 終了日: 20260314
デバイスモデル,アクティブ ユーザー
iPhone,12
iPhone 14,2
iPhone 11,1
iPhone 11 Pro,1
iPhone 12,1
iPhone 13,1
iPhone 13 Pro,1
iPhone 14 Plus,1
iPhone 15 Pro Max,1
