名前,Gymty(ジムティー)
開始日,2026/02/27
終了日,2026/03/06

日付,インプレッション数
2026/02/27,7.0
2026/02/28,2.0
2026/03/01,8.0
2026/03/02,1.0
2026/03/03,10.0
2026/03/04,5.0
2026/03/05,3.0
2026/03/06,6.0
